left_color,mid_color,right_color,left_motor,right_motor,class
38.874361593462716,34.28600612870276,83.79673135852912,49.54749744637385,92.0020429009193,6
40.73426573426573,30.095571095571096,80.9067599067599,52.56410256410256,91.81818181818181,6
36.152830188679246,36.93584905660377,83.19905660377358,42.47641509433962,92.49245283018868,6
37.64250248262165,35.71002979145978,83.66335650446872,48.729890764647465,92.0506454816286,6
37.56547619047619,36.41220238095238,81.73809523809524,43.29017857142857,92.41369047619048,6
36.82678132678133,36.33906633906634,82.7051597051597,38.966830466830466,92.6977886977887,6
36.25614366729678,37.00094517958412,83.63137996219281,43.55293005671078,92.53875236294896,6
37.90251572327044,35.372117400419285,83.79979035639413,50.079664570230605,91.9538784067086,6
42.00938337801609,31.635388739946382,83.88337801608579,53.789544235924936,91.6313672922252,6
40.3512585812357,33.34096109839817,84.13501144164759,54.40846681922197,91.6258581235698,6
38.50726392251816,35.32082324455206,83.92857142857143,53.89951573849879,91.81113801452784,6
40.38277511961722,33.29904306220096,84.0933014354067,53.0933014354067,91.74162679425838,6
38.193118756936734,34.74583795782464,83.70699223085461,53.71254162042175,91.70810210876803,6
41.15668202764977,32.27764976958525,83.9573732718894,51.544930875576036,91.8052995391705,6
37.83389261744966,36.51677852348993,83.55872483221476,43.077181208053695,92.39597315436242,6
42.96139705882353,31.676470588235293,83.5091911764706,46.71507352941177,92.17463235294117,6
39.891181988742964,34.18198874296435,82.13696060037523,45.549718574108816,91.93621013133209,6
36.890862944162436,36.86040609137056,83.59010152284264,39.057106598984774,92.72081218274111,6
36.045307443365694,38.68824163969795,84.042071197411,38.41423948220065,92.74865156418555,6
35.58937691521961,38.198161389172625,83.22165474974464,42.87231869254341,92.61082737487231,6
42.49315068493151,31.360730593607308,83.67427701674276,50.662100456621005,91.82039573820396,6
43.37699115044248,30.215929203539822,83.65486725663717,49.66902654867257,91.77699115044248,6
39.1951871657754,33.649732620320854,83.47147950089126,47.333333333333336,92.15151515151516,6
39.373259052924794,34.71587743732591,84.38904363974002,46.87650882079851,92.18012999071495,6
39.44550264550264,34.114285714285714,83.99365079365079,47.67724867724868,92.06666666666666,6
40.541994750656166,33.06299212598425,84.24015748031496,52.22047244094488,91.8490813648294,6
35.213562753036435,37.533400809716596,83.17914979757084,43.412955465587046,92.39473684210526,6
